Name	Start	Duration	Time Format	Type	Description
Marker 01	0:13.136	0:00.000	decimal	Cue	
Marker 06	0:17.264	0:00.000	decimal	Cue	
Marker 07	0:22.665	0:00.000	decimal	Cue	
Marker 11	0:27.512	0:00.000	decimal	Cue	
Marker 24	0:31.697	0:00.000	decimal	Cue	
Marker 28	0:42.236	0:00.000	decimal	Cue	
Marker 32	0:46.410	0:00.000	decimal	Cue	
Marker 37	0:53.253	0:00.000	decimal	Cue	
Marker 38	1:00.649	0:00.000	decimal	Cue	
Marker 39	1:09.863	0:00.000	decimal	Cue	
Marker 44	1:16.971	0:00.000	decimal	Cue	
Marker 49	1:21.880	0:00.000	decimal	Cue	
Marker 50	1:28.436	0:00.000	decimal	Cue	
Marker 57	1:35.692	0:00.000	decimal	Cue	
Marker 67	1:48.425	0:00.000	decimal	Cue	
Marker 72	2:00.185	0:00.000	decimal	Cue	
Marker 84	2:12.197	0:00.000	decimal	Cue	
Marker 91	2:16.252	0:00.000	decimal	Cue	
