Name	Start	Duration	Time Format	Type	Description
Marker 01	0:06.203	0:00.000	decimal	Cue	
Marker 02	0:10.363	0:00.000	decimal	Cue	
Marker 03	0:14.010	0:00.000	decimal	Cue	
Marker 08	0:23.311	0:00.000	decimal	Cue	
Marker 12	0:31.769	0:00.000	decimal	Cue	
Marker 17	0:35.984	0:00.000	decimal	Cue	
Marker 18	0:47.102	0:00.000	decimal	Cue	
Marker 31	0:53.781	0:00.000	decimal	Cue	
Marker 32	1:01.952	0:00.000	decimal	Cue	
Marker 50	1:08.382	0:00.000	decimal	Cue	
Marker 51	1:13.142	0:00.000	decimal	Cue	
Marker 52	1:20.712	0:00.000	decimal	Cue	
Marker 53	1:32.062	0:00.000	decimal	Cue	
Marker 60	1:36.549	0:00.000	decimal	Cue	
Marker 61	1:41.042	0:00.000	decimal	Cue	
Marker 62	1:50.842	0:00.000	decimal	Cue	
Marker 63	2:01.698	0:00.000	decimal	Cue	
Marker 73	2:10.798	0:00.000	decimal	Cue	
Marker 80	2:16.091	0:00.000	decimal	Cue	
Marker 99	2:27.986	0:00.000	decimal	Cue	
Marker 107	2:38.638	0:00.000	decimal	Cue	
Marker 108	2:41.448	0:00.000	decimal	Cue	
Marker 119	2:50.402	0:00.000	decimal	Cue	
Marker 120	2:57.672	0:00.000	decimal	Cue	
Marker 127	3:07.935	0:00.000	decimal	Cue	
Marker 136	3:15.841	0:00.000	decimal	Cue	
Marker 137	3:29.517	0:00.000	decimal	Cue	
Marker 138	3:36.760	0:00.000	decimal	Cue	
Marker 139	3:49.564	0:00.000	decimal	Cue	
Marker 140	3:58.380	0:00.000	decimal	Cue	
Marker 141	4:04.725	0:00.000	decimal	Cue	
Marker 148	4:12.885	0:00.000	decimal	Cue	
