Name	Start	Duration	Time Format	Type	Description
Marker 06	0:04.042	0:00.000	decimal	Cue	
Marker 15	0:10.560	0:00.000	decimal	Cue	
Marker 21	0:24.083	0:00.000	decimal	Cue	
Marker 22	0:32.463	0:00.000	decimal	Cue	
Marker 30	0:38.935	0:00.000	decimal	Cue	
Marker 31	0:44.465	0:00.000	decimal	Cue	
Marker 32	0:51.355	0:00.000	decimal	Cue	
Marker 33	0:56.585	0:00.000	decimal	Cue	
Marker 46	1:06.072	0:00.000	decimal	Cue	
Marker 47	1:13.802	0:00.000	decimal	Cue	
Marker 54	1:21.665	0:00.000	decimal	Cue	
Marker 55	1:27.185	0:00.000	decimal	Cue	
Marker 62	1:33.235	0:00.000	decimal	Cue	
Marker 63	1:36.752	0:00.000	decimal	Cue	
Marker 72	1:44.770	0:00.000	decimal	Cue	
Marker 78	1:49.493	0:00.000	decimal	Cue	
Marker 100	1:59.731	0:00.000	decimal	Cue	
Marker 106	2:04.684	0:00.000	decimal	Cue	
Marker 107	2:09.074	0:00.000	decimal	Cue	
Marker 117	2:18.468	0:00.000	decimal	Cue	
Marker 127	2:25.760	0:00.000	decimal	Cue	
Marker 131	2:30.796	0:00.000	decimal	Cue	
Marker 139	2:41.302	0:00.000	decimal	Cue	
Marker 149	2:51.660	0:00.000	decimal	Cue	
Marker 155	2:56.217	0:00.000	decimal	Cue	
Marker 161	3:05.033	0:00.000	decimal	Cue	
Marker 162	3:10.834	0:00.000	decimal	Cue	
Marker 163	3:18.703	0:00.000	decimal	Cue	
Marker 171	3:26.231	0:00.000	decimal	Cue	
Marker 172	3:33.611	0:00.000	decimal	Cue	
Marker 180	3:39.373	0:00.000	decimal	Cue	
Marker 181	3:46.350	0:00.000	decimal	Cue	
Marker 182	3:51.333	0:00.000	decimal	Cue	
Marker 188	4:00.365	0:00.000	decimal	Cue	
Marker 189	4:13.571	0:00.000	decimal	Cue	
Marker 214	4:19.846	0:00.000	decimal	Cue	
Marker 224	4:23.966	0:00.000	decimal	Cue	
Marker 228	4:33.640	0:00.000	decimal	Cue	
Marker 229	4:45.405	0:00.000	decimal	Cue	
