Name	Start	Duration	Time Format	Type	Description
Marker 05	0:04.641	0:00.000	decimal	Cue	
Marker 06	0:10.739	0:00.000	decimal	Cue	
Marker 07	0:15.879	0:00.000	decimal	Cue	
Marker 08	0:26.399	0:00.000	decimal	Cue	
Marker 32	0:34.202	0:00.000	decimal	Cue	
Marker 40	0:42.884	0:00.000	decimal	Cue	
Marker 48	0:46.257	0:00.000	decimal	Cue	
Marker 49	0:50.397	0:00.000	decimal	Cue	
Marker 56	0:57.467	0:00.000	decimal	Cue	
Marker 57	1:03.926	0:00.000	decimal	Cue	
Marker 63	1:09.717	0:00.000	decimal	Cue	
Marker 70	1:15.483	0:00.000	decimal	Cue	
Marker 71	1:25.964	0:00.000	decimal	Cue	
Marker 72	1:31.571	0:00.000	decimal	Cue	
Marker 87	1:38.428	0:00.000	decimal	Cue	
Marker 123	1:49.616	0:00.000	decimal	Cue	
Marker 124	1:56.558	0:00.000	decimal	Cue	
Marker 130	2:00.455	0:00.000	decimal	Cue	
Marker 136	2:14.366	0:00.000	decimal	Cue	
Marker 137	2:18.388	0:00.000	decimal	Cue	
Marker 160	2:25.865	0:00.000	decimal	Cue	
Marker 167	2:34.261	0:00.000	decimal	Cue	
Marker 180	2:42.246	0:00.000	decimal	Cue	
