Name	Start	Duration	Time Format	Type	Description
Marker 18	0:06.751	0:00.000	decimal	Cue	
Marker 17	1:39.412	0:00.000	decimal	Cue	
Marker 16	1:39.412	0:00.000	decimal	Cue	
Marker 15	1:32.000	0:00.000	decimal	Cue	
Marker 14	1:25.227	0:00.000	decimal	Cue	
Marker 13	1:20.770	0:00.000	decimal	Cue	
Marker 12	1:14.874	0:00.000	decimal	Cue	
Marker 11	1:11.453	0:00.000	decimal	Cue	
Marker 10	1:04.626	0:00.000	decimal	Cue	
Marker 09	0:50.718	0:00.000	decimal	Cue	
Marker 08	0:43.768	0:00.000	decimal	Cue	
Marker 07	0:35.618	0:00.000	decimal	Cue	
Marker 06	0:30.812	0:00.000	decimal	Cue	
Marker 05	0:23.162	0:00.000	decimal	Cue	
Marker 04	0:19.500	0:00.000	decimal	Cue	
Marker 03	0:15.665	0:00.000	decimal	Cue	
