Name	Start	Duration	Time Format	Type	Description
Marker 10	0:11.171	0:00.000	decimal	Cue	
Marker 15	0:24.157	0:00.000	decimal	Cue	
Marker 33	0:38.082	0:00.000	decimal	Cue	
Marker 34	0:47.623	0:00.000	decimal	Cue	
Marker 53	1:01.792	0:00.000	decimal	Cue	
Marker 63	1:11.356	0:00.000	decimal	Cue	
Marker 68	1:14.879	0:00.000	decimal	Cue	
Marker 73	1:22.438	0:00.000	decimal	Cue	
Marker 103	1:30.197	0:00.000	decimal	Cue	
Marker 104	1:35.747	0:00.000	decimal	Cue	
Marker 116	1:52.099	0:00.000	decimal	Cue	
Marker 118	1:57.902	0:00.000	decimal	Cue	
Marker 128	2:05.167	0:00.000	decimal	Cue	
Marker 129	2:13.492	0:00.000	decimal	Cue	
Marker 130	2:19.850	0:00.000	decimal	Cue	
Marker 132	2:28.303	0:00.000	decimal	Cue	
Marker 133	2:33.328	0:00.000	decimal	Cue	
Marker 135	2:37.753	0:00.000	decimal	Cue	
Marker 141	2:45.352	0:00.000	decimal	Cue	
Marker 145	2:48.042	0:00.000	decimal	Cue	
Marker 157	2:59.709	0:00.000	decimal	Cue	
Marker 158	3:04.749	0:00.000	decimal	Cue	
Marker 165	3:09.171	0:00.000	decimal	Cue	
Marker 166	3:13.916	0:00.000	decimal	Cue	
Marker 178	3:20.848	0:00.000	decimal	Cue	
Marker 192	3:31.591	0:00.000	decimal	Cue	
Marker 213	3:46.103	0:00.000	decimal	Cue	
Marker 223	3:58.824	0:00.000	decimal	Cue	
