Name	Start	Duration	Time Format	Type	Description
Marker 23	0:06.312	0:00.000	decimal	Cue	
Marker 35	0:17.340	0:00.000	decimal	Cue	
Marker 44	0:25.595	0:00.000	decimal	Cue	
Marker 51	0:31.748	0:00.000	decimal	Cue	
Marker 88	0:44.253	0:00.000	decimal	Cue	
Marker 98	0:47.562	0:00.000	decimal	Cue	
Marker 115	0:56.318	0:00.000	decimal	Cue	
Marker 116	1:00.681	0:00.000	decimal	Cue	
Marker 124	1:06.942	0:00.000	decimal	Cue	
Marker 151	1:17.258	0:00.000	decimal	Cue	
Marker 170	1:27.580	0:00.000	decimal	Cue	
Marker 174	1:29.901	0:00.000	decimal	Cue	
Marker 175	1:32.237	0:00.000	decimal	Cue	
Marker 176	1:40.031	0:00.000	decimal	Cue	
