Name	Start	Duration	Time Format	Type	Description
Marker 04	0:08.737	0:00.000	decimal	Cue	
Marker 11	0:23.142	0:00.000	decimal	Cue	
Marker 15	0:35.027	0:00.000	decimal	Cue	
Marker 19	0:44.049	0:00.000	decimal	Cue	
Marker 26	0:53.998	0:00.000	decimal	Cue	
Marker 27	0:57.548	0:00.000	decimal	Cue	
Marker 28	1:12.124	0:00.000	decimal	Cue	
Marker 30	1:18.667	0:00.000	decimal	Cue	
Marker 31	1:24.257	0:00.000	decimal	Cue	
Marker 32	1:32.773	0:00.000	decimal	Cue	
Marker 36	1:38.087	0:00.000	decimal	Cue	
Marker 37	1:47.802	0:00.000	decimal	Cue	
Marker 38	1:53.064	0:00.000	decimal	Cue	
Marker 45	2:01.126	0:00.000	decimal	Cue	
Marker 46	2:04.635	0:00.000	decimal	Cue	
Marker 56	2:11.734	0:00.000	decimal	Cue	
Marker 67	2:17.746	0:00.000	decimal	Cue	
Marker 68	2:23.522	0:00.000	decimal	Cue	
Marker 79	2:28.873	0:00.000	decimal	Cue	
Marker 80	2:36.583	0:00.000	decimal	Cue	
Marker 88	2:44.894	0:00.000	decimal	Cue	
Marker 89	2:59.669	0:00.000	decimal	Cue	
Marker 90	3:12.369	0:00.000	decimal	Cue	
Marker 91	3:21.539	0:00.000	decimal	Cue	
Marker 98	3:29.089	0:00.000	decimal	Cue	
Marker 102	3:33.294	0:00.000	decimal	Cue	
Marker 109	3:38.944	0:00.000	decimal	Cue	
Marker 110	3:45.669	0:00.000	decimal	Cue	
Marker 111	3:57.879	0:00.000	decimal	Cue	
Marker 112	4:04.849	0:00.000	decimal	Cue	
Marker 113	4:07.939	0:00.000	decimal	Cue	
Marker 114	4:14.299	0:00.000	decimal	Cue	
Marker 115	4:19.869	0:00.000	decimal	Cue	
Marker 116	4:22.463	0:00.000	decimal	Cue	
Marker 117	4:31.319	0:00.000	decimal	Cue	
Marker 122	4:41.313	0:00.000	decimal	Cue	
Marker 123	4:45.123	0:00.000	decimal	Cue	
Marker 124	4:52.253	0:00.000	decimal	Cue	
Marker 125	5:01.020	0:00.000	decimal	Cue	
Marker 126	5:07.549	0:00.000	decimal	Cue	
Marker 127	5:12.315	0:00.000	decimal	Cue	
