Name	Start	Duration	Time Format	Type	Description
Marker 04	0:08.716	0:00.000	decimal	Cue	
Marker 05	0:13.986	0:00.000	decimal	Cue	
Marker 06	0:22.972	0:00.000	decimal	Cue	
Marker 07	0:28.756	0:00.000	decimal	Cue	
Marker 08	0:38.222	0:00.000	decimal	Cue	
Marker 13	0:46.854	0:00.000	decimal	Cue	
Marker 14	0:49.944	0:00.000	decimal	Cue	
Marker 18	0:56.327	0:00.000	decimal	Cue	
Marker 23	1:03.017	0:00.000	decimal	Cue	
Marker 29	1:10.804	0:00.000	decimal	Cue	
Marker 166	1:21.796	0:00.000	decimal	Cue	
Marker 50	1:27.388	0:00.000	decimal	Cue	
Marker 64	1:40.635	0:00.000	decimal	Cue	
Marker 65	1:48.855	0:00.000	decimal	Cue	
Marker 75	2:03.972	0:00.000	decimal	Cue	
Marker 76	2:09.122	0:00.000	decimal	Cue	
Marker 86	2:20.918	0:00.000	decimal	Cue	
Marker 87	2:26.553	0:00.000	decimal	Cue	
Marker 88	2:37.442	0:00.000	decimal	Cue	
Marker 89	2:46.018	0:00.000	decimal	Cue	
Marker 97	2:55.742	0:00.000	decimal	Cue	
Marker 111	3:06.408	0:00.000	decimal	Cue	
Marker 118	3:13.985	0:00.000	decimal	Cue	
Marker 119	3:17.675	0:00.000	decimal	Cue	
Marker 129	3:22.962	0:00.000	decimal	Cue	
Marker 160	3:30.534	0:00.000	decimal	Cue	
Marker 164	3:38.704	0:00.000	decimal	Cue	
Marker 165	3:42.839	0:00.000	decimal	Cue	
