Name	Start	Duration	Time Format	Type	Description
Marker 14	0:08.558	0:00.000	decimal	Cue	
Marker 15	0:13.262	0:00.000	decimal	Cue	
Marker 16	0:22.191	0:00.000	decimal	Cue	
Marker 28	0:26.171	0:00.000	decimal	Cue	
Marker 29	0:30.491	0:00.000	decimal	Cue	
Marker 30	0:38.831	0:00.000	decimal	Cue	
Marker 31	0:48.091	0:00.000	decimal	Cue	
Marker 32	0:50.651	0:00.000	decimal	Cue	
Marker 36	0:58.417	0:00.000	decimal	Cue	
Marker 44	1:05.864	0:00.000	decimal	Cue	
Marker 45	1:11.784	0:00.000	decimal	Cue	
Marker 57	1:20.972	0:00.000	decimal	Cue	
Marker 58	1:29.772	0:00.000	decimal	Cue	
Marker 59	1:37.245	0:00.000	decimal	Cue	
Marker 60	1:41.732	0:00.000	decimal	Cue	
Marker 64	1:48.678	0:00.000	decimal	Cue	
Marker 65	1:52.179	0:00.000	decimal	Cue	
Marker 76	1:58.900	0:00.000	decimal	Cue	
Marker 80	2:03.975	0:00.000	decimal	Cue	
Marker 84	2:10.428	0:00.000	decimal	Cue	
Marker 90	2:15.656	0:00.000	decimal	Cue	
Marker 91	2:23.126	0:00.000	decimal	Cue	
Marker 116	2:26.116	0:00.000	decimal	Cue	
Marker 117	2:31.686	0:00.000	decimal	Cue	
Marker 125	2:40.083	0:00.000	decimal	Cue	
Marker 129	2:49.865	0:00.000	decimal	Cue	
Marker 133	3:01.460	0:00.000	decimal	Cue	
Marker 134	3:06.160	0:00.000	decimal	Cue	
Marker 135	3:10.656	0:00.000	decimal	Cue	
Marker 156	3:17.682	0:00.000	decimal	Cue	
Marker 171	3:24.839	0:00.000	decimal	Cue	
Marker 186	3:36.642	0:00.000	decimal	Cue	
Marker 194	3:44.881	0:00.000	decimal	Cue	
Marker 200	3:54.624	0:00.000	decimal	Cue	
Marker 201	4:00.224	0:00.000	decimal	Cue	
Marker 205	4:07.036	0:00.000	decimal	Cue	
Marker 206	4:15.545	0:00.000	decimal	Cue	
Marker 223	4:22.402	0:00.000	decimal	Cue	
Marker 224	4:29.412	0:00.000	decimal	Cue	
Marker 225	4:38.216	0:00.000	decimal	Cue	
