Name	Start	Duration	Time Format	Type	Description
Marker 05	0:04.098	0:00.000	decimal	Cue	
Marker 06	0:14.144	0:00.000	decimal	Cue	
Marker 12	0:17.458	0:00.000	decimal	Cue	
Marker 13	0:24.048	0:00.000	decimal	Cue	
Marker 14	0:30.948	0:00.000	decimal	Cue	
Marker 15	0:40.188	0:00.000	decimal	Cue	
Marker 16	0:43.362	0:00.000	decimal	Cue	
Marker 17	0:49.288	0:00.000	decimal	Cue	
Marker 18	1:00.738	0:00.000	decimal	Cue	
Marker 19	1:08.926	0:00.000	decimal	Cue	
Marker 135	1:16.247	0:00.000	decimal	Cue	
Marker 23	1:21.790	0:00.000	decimal	Cue	
Marker 24	1:32.059	0:00.000	decimal	Cue	
Marker 25	1:40.825	0:00.000	decimal	Cue	
Marker 31	1:51.169	0:00.000	decimal	Cue	
Marker 36	1:59.519	0:00.000	decimal	Cue	
Marker 37	2:13.795	0:00.000	decimal	Cue	
Marker 38	2:23.225	0:00.000	decimal	Cue	
Marker 49	2:26.477	0:00.000	decimal	Cue	
Marker 55	2:34.943	0:00.000	decimal	Cue	
Marker 62	2:38.158	0:00.000	decimal	Cue	
Marker 63	2:46.729	0:00.000	decimal	Cue	
Marker 64	2:52.859	0:00.000	decimal	Cue	
Marker 86	2:58.835	0:00.000	decimal	Cue	
Marker 87	3:03.721	0:00.000	decimal	Cue	
Marker 88	3:06.631	0:00.000	decimal	Cue	
Marker 89	3:13.536	0:00.000	decimal	Cue	
Marker 90	3:23.301	0:00.000	decimal	Cue	
Marker 91	3:28.752	0:00.000	decimal	Cue	
Marker 98	3:34.611	0:00.000	decimal	Cue	
Marker 99	3:38.351	0:00.000	decimal	Cue	
Marker 100	3:42.511	0:00.000	decimal	Cue	
Marker 110	3:50.351	0:00.000	decimal	Cue	
Marker 111	3:56.325	0:00.000	decimal	Cue	
Marker 130	4:05.154	0:00.000	decimal	Cue	
Marker 131	4:11.809	0:00.000	decimal	Cue	
Marker 132	4:17.698	0:00.000	decimal	Cue	
Marker 133	4:22.878	0:00.000	decimal	Cue	
