Name	Start	Duration	Time Format	Type	Description
Marker 01	0:05.405	0:00.000	decimal	Cue	
Marker 02	0:08.271	0:00.000	decimal	Cue	
Marker 03	0:16.055	0:00.000	decimal	Cue	
Marker 13	0:21.306	0:00.000	decimal	Cue	
Marker 14	0:27.891	0:00.000	decimal	Cue	
Marker 15	0:34.721	0:00.000	decimal	Cue	
Marker 32	0:42.685	0:00.000	decimal	Cue	
Marker 37	0:50.816	0:00.000	decimal	Cue	
Marker 38	1:00.192	0:00.000	decimal	Cue	
Marker 39	1:06.396	0:00.000	decimal	Cue	
Marker 49	1:11.119	0:00.000	decimal	Cue	
Marker 50	1:22.009	0:00.000	decimal	Cue	
Marker 56	1:27.235	0:00.000	decimal	Cue	
Marker 57	1:34.051	0:00.000	decimal	Cue	
Marker 62	1:36.193	0:00.000	decimal	Cue	
Marker 71	1:42.291	0:00.000	decimal	Cue	
Marker 77	1:50.930	0:00.000	decimal	Cue	
Marker 78	1:58.344	0:00.000	decimal	Cue	
Marker 79	2:02.034	0:00.000	decimal	Cue	
Marker 80	2:07.498	0:00.000	decimal	Cue	
Marker 81	2:17.650	0:00.000	decimal	Cue	
Marker 86	2:22.695	0:00.000	decimal	Cue	
Marker 87	2:28.258	0:00.000	decimal	Cue	
Marker 92	2:35.482	0:00.000	decimal	Cue	
Marker 97	2:40.905	0:00.000	decimal	Cue	
Marker 98	2:46.614	0:00.000	decimal	Cue	
Marker 99	2:53.394	0:00.000	decimal	Cue	
Marker 100	3:07.814	0:00.000	decimal	Cue	
Marker 117	3:21.424	0:00.000	decimal	Cue	
Marker 118	3:25.907	0:00.000	decimal	Cue	
