Name	Start	Duration	Time Format	Type	Description
Marker 15	0:06.640	0:00.000	decimal	Cue	
Marker 16	0:14.300	0:00.000	decimal	Cue	
Marker 17	0:25.938	0:00.000	decimal	Cue	
Marker 18	0:29.567	0:00.000	decimal	Cue	
Marker 19	0:34.928	0:00.000	decimal	Cue	
Marker 24	0:43.304	0:00.000	decimal	Cue	
Marker 25	0:50.906	0:00.000	decimal	Cue	
Marker 26	0:54.509	0:00.000	decimal	Cue	
Marker 27	1:02.042	0:00.000	decimal	Cue	
Marker 28	1:06.095	0:00.000	decimal	Cue	
Marker 29	1:09.144	0:00.000	decimal	Cue	
Marker 30	1:13.444	0:00.000	decimal	Cue	
Marker 31	1:17.121	0:00.000	decimal	Cue	
Marker 32	1:26.184	0:00.000	decimal	Cue	
Marker 33	1:33.034	0:00.000	decimal	Cue	
Marker 34	1:36.457	0:00.000	decimal	Cue	
Marker 51	1:41.227	0:00.000	decimal	Cue	
Marker 59	1:46.615	0:00.000	decimal	Cue	
Marker 60	1:49.971	0:00.000	decimal	Cue	
Marker 69	1:55.215	0:00.000	decimal	Cue	
Marker 70	2:02.602	0:00.000	decimal	Cue	
Marker 80	2:09.211	0:00.000	decimal	Cue	
Marker 86	2:14.676	0:00.000	decimal	Cue	
Marker 87	2:23.210	0:00.000	decimal	Cue	
Marker 88	2:25.351	0:00.000	decimal	Cue	
Marker 89	2:31.416	0:00.000	decimal	Cue	
Marker 90	2:37.656	0:00.000	decimal	Cue	
Marker 91	2:41.266	0:00.000	decimal	Cue	
Marker 100	2:52.064	0:00.000	decimal	Cue	
Marker 109	3:01.574	0:00.000	decimal	Cue	
Marker 120	3:10.209	0:00.000	decimal	Cue	
Marker 131	3:18.103	0:00.000	decimal	Cue	
Marker 132	3:23.320	0:00.000	decimal	Cue	
Marker 148	3:27.952	0:00.000	decimal	Cue	
Marker 149	3:32.132	0:00.000	decimal	Cue	
Marker 150	3:39.297	0:00.000	decimal	Cue	
Marker 155	3:43.082	0:00.000	decimal	Cue	
Marker 178	3:53.218	0:00.000	decimal	Cue	
Marker 195	3:59.424	0:00.000	decimal	Cue	
Marker 196	4:04.246	0:00.000	decimal	Cue	
Marker 201	4:08.464	0:00.000	decimal	Cue	
Marker 202	4:12.120	0:00.000	decimal	Cue	
Marker 207	4:19.486	0:00.000	decimal	Cue	
Marker 208	4:24.507	0:00.000	decimal	Cue	
Marker 216	4:30.869	0:00.000	decimal	Cue	
Marker 217	4:34.412	0:00.000	decimal	Cue	
Marker 218	4:37.728	0:00.000	decimal	Cue	
Marker 219	4:42.418	0:00.000	decimal	Cue	
Marker 236	4:47.206	0:00.000	decimal	Cue	
Marker 261	4:51.340	0:00.000	decimal	Cue	
Marker 262	4:57.988	0:00.000	decimal	Cue	
