Name	Start	Duration	Time Format	Type	Description
Marker 35	0:07.582	0:00.000	decimal	Cue	
Marker 44	0:12.590	0:00.000	decimal	Cue	
Marker 45	0:17.040	0:00.000	decimal	Cue	
Marker 52	0:29.111	0:00.000	decimal	Cue	
Marker 53	0:33.201	0:00.000	decimal	Cue	
Marker 60	0:36.694	0:00.000	decimal	Cue	
Marker 65	0:44.839	0:00.000	decimal	Cue	
Marker 77	0:50.600	0:00.000	decimal	Cue	
Marker 87	0:59.367	0:00.000	decimal	Cue	
Marker 92	1:05.944	0:00.000	decimal	Cue	
Marker 98	1:11.323	0:00.000	decimal	Cue	
Marker 107	1:19.993	0:00.000	decimal	Cue	
Marker 108	1:26.177	0:00.000	decimal	Cue	
Marker 114	1:30.933	0:00.000	decimal	Cue	
Marker 119	1:39.416	0:00.000	decimal	Cue	
Marker 120	1:46.476	0:00.000	decimal	Cue	
Marker 121	1:49.986	0:00.000	decimal	Cue	
Marker 132	1:53.941	0:00.000	decimal	Cue	
Marker 133	1:58.664	0:00.000	decimal	Cue	
Marker 137	2:06.288	0:00.000	decimal	Cue	
Marker 138	2:14.822	0:00.000	decimal	Cue	
Marker 143	2:22.664	0:00.000	decimal	Cue	
Marker 148	2:29.180	0:00.000	decimal	Cue	
Marker 149	2:37.080	0:00.000	decimal	Cue	
Marker 159	2:46.206	0:00.000	decimal	Cue	
Marker 172	2:51.879	0:00.000	decimal	Cue	
Marker 173	3:00.155	0:00.000	decimal	Cue	
Marker 185	3:03.032	0:00.000	decimal	Cue	
Marker 186	3:07.809	0:00.000	decimal	Cue	
Marker 192	3:10.568	0:00.000	decimal	Cue	
Marker 193	3:13.752	0:00.000	decimal	Cue	
Marker 204	3:17.968	0:00.000	decimal	Cue	
Marker 205	3:21.448	0:00.000	decimal	Cue	
Marker 214	3:32.112	0:00.000	decimal	Cue	
Marker 215	3:38.821	0:00.000	decimal	Cue	
Marker 233	3:48.634	0:00.000	decimal	Cue	
Marker 234	3:57.504	0:00.000	decimal	Cue	
Marker 235	4:05.130	0:00.000	decimal	Cue	
Marker 236	4:13.140	0:00.000	decimal	Cue	
Marker 240	4:19.891	0:00.000	decimal	Cue	
Marker 241	4:25.487	0:00.000	decimal	Cue	
Marker 242	4:32.851	0:00.000	decimal	Cue	
Marker 243	4:38.491	0:00.000	decimal	Cue	
Marker 262	4:47.913	0:00.000	decimal	Cue	
Marker 263	4:51.053	0:00.000	decimal	Cue	
Marker 272	4:57.993	0:00.000	decimal	Cue	
Marker 273	5:01.983	0:00.000	decimal	Cue	
Marker 275	5:10.032	0:00.000	decimal	Cue	
Marker 276	5:15.706	0:00.000	decimal	Cue	
Marker 288	5:17.957	0:00.000	decimal	Cue	
Marker 294	5:24.937	0:00.000	decimal	Cue	
Marker 302	5:30.682	0:00.000	decimal	Cue	
