Name	Start	Duration	Time Format	Type	Description
Marker 06	0:09.304	0:00.000	decimal	Cue	
Marker 07	0:16.754	0:00.000	decimal	Cue	
Marker 08	0:19.864	0:00.000	decimal	Cue	
Marker 13	0:25.974	0:00.000	decimal	Cue	
Marker 14	0:34.821	0:00.000	decimal	Cue	
Marker 15	0:39.729	0:00.000	decimal	Cue	
Marker 16	0:48.569	0:00.000	decimal	Cue	
Marker 35	0:56.809	0:00.000	decimal	Cue	
Marker 55	1:03.521	0:00.000	decimal	Cue	
Marker 56	1:08.757	0:00.000	decimal	Cue	
Marker 57	1:14.677	0:00.000	decimal	Cue	
Marker 58	1:17.656	0:00.000	decimal	Cue	
Marker 59	1:24.210	0:00.000	decimal	Cue	
Marker 84	1:30.827	0:00.000	decimal	Cue	
Marker 85	1:36.451	0:00.000	decimal	Cue	
Marker 86	1:39.681	0:00.000	decimal	Cue	
Marker 98	1:46.477	0:00.000	decimal	Cue	
Marker 103	1:53.893	0:00.000	decimal	Cue	
Marker 125	2:02.623	0:00.000	decimal	Cue	
Marker 126	2:08.418	0:00.000	decimal	Cue	
Marker 127	2:12.901	0:00.000	decimal	Cue	
Marker 139	2:20.690	0:00.000	decimal	Cue	
Marker 145	2:25.302	0:00.000	decimal	Cue	
Marker 146	2:34.368	0:00.000	decimal	Cue	
Marker 151	2:37.198	0:00.000	decimal	Cue	
Marker 156	2:46.691	0:00.000	decimal	Cue	
Marker 157	2:53.561	0:00.000	decimal	Cue	
Marker 158	2:58.372	0:00.000	decimal	Cue	
Marker 167	3:05.510	0:00.000	decimal	Cue	
Marker 168	3:10.885	0:00.000	decimal	Cue	
Marker 177	3:21.182	0:00.000	decimal	Cue	
Marker 178	3:31.052	0:00.000	decimal	Cue	
Marker 179	3:39.741	0:00.000	decimal	Cue	
Marker 180	3:50.162	0:00.000	decimal	Cue	
Marker 191	3:53.236	0:00.000	decimal	Cue	
Marker 192	4:03.372	0:00.000	decimal	Cue	
Marker 209	4:09.196	0:00.000	decimal	Cue	
Marker 210	4:15.642	0:00.000	decimal	Cue	
Marker 211	4:23.283	0:00.000	decimal	Cue	
Marker 212	4:26.842	0:00.000	decimal	Cue	
Marker 240	4:32.116	0:00.000	decimal	Cue	
Marker 264	4:45.477	0:00.000	decimal	Cue	
Marker 274	4:51.429	0:00.000	decimal	Cue	
Marker 283	4:56.991	0:00.000	decimal	Cue	
Marker 289	5:02.497	0:00.000	decimal	Cue	
Marker 294	5:10.564	0:00.000	decimal	Cue	
Marker 295	5:16.184	0:00.000	decimal	Cue	
Marker 301	5:23.285	0:00.000	decimal	Cue	
Marker 302	5:30.585	0:00.000	decimal	Cue	
Marker 317	5:35.443	0:00.000	decimal	Cue	
Marker 318	5:44.258	0:00.000	decimal	Cue	
Marker 335	5:51.722	0:00.000	decimal	Cue	
Marker 346	5:58.488	0:00.000	decimal	Cue	
Marker 352	6:02.968	0:00.000	decimal	Cue	
