Name	Start	Duration	Time Format	Type	Description
Marker 15	0:07.858	0:00.000	decimal	Cue	
Marker 16	0:14.648	0:00.000	decimal	Cue	
Marker 21	0:23.241	0:00.000	decimal	Cue	
Marker 22	0:28.527	0:00.000	decimal	Cue	
Marker 23	0:38.437	0:00.000	decimal	Cue	
Marker 28	0:43.090	0:00.000	decimal	Cue	
Marker 29	0:50.594	0:00.000	decimal	Cue	
Marker 40	0:56.944	0:00.000	decimal	Cue	
Marker 41	1:01.494	0:00.000	decimal	Cue	
Marker 52	1:12.375	0:00.000	decimal	Cue	
Marker 53	1:16.591	0:00.000	decimal	Cue	
Marker 63	1:26.878	0:00.000	decimal	Cue	
Marker 64	1:34.734	0:00.000	decimal	Cue	
Marker 96	1:46.842	0:00.000	decimal	Cue	
Marker 97	1:53.732	0:00.000	decimal	Cue	
Marker 98	1:57.612	0:00.000	decimal	Cue	
Marker 138	2:11.557	0:00.000	decimal	Cue	
Marker 139	2:17.904	0:00.000	decimal	Cue	
Marker 157	2:26.997	0:00.000	decimal	Cue	
Marker 158	2:31.741	0:00.000	decimal	Cue	
Marker 159	2:39.351	0:00.000	decimal	Cue	
Marker 160	2:45.951	0:00.000	decimal	Cue	
Marker 176	2:51.450	0:00.000	decimal	Cue	
Marker 177	3:02.355	0:00.000	decimal	Cue	
Marker 186	3:09.152	0:00.000	decimal	Cue	
Marker 191	3:15.746	0:00.000	decimal	Cue	
Marker 192	3:25.056	0:00.000	decimal	Cue	
Marker 193	3:28.586	0:00.000	decimal	Cue	
Marker 197	3:38.881	0:00.000	decimal	Cue	
Marker 203	3:46.584	0:00.000	decimal	Cue	
Marker 204	3:51.504	0:00.000	decimal	Cue	
Marker 205	3:55.740	0:00.000	decimal	Cue	
Marker 222	4:02.469	0:00.000	decimal	Cue	
Marker 230	4:07.614	0:00.000	decimal	Cue	
Marker 231	4:12.728	0:00.000	decimal	Cue	
Marker 237	4:27.271	0:00.000	decimal	Cue	
Marker 238	4:38.161	0:00.000	decimal	Cue	
Marker 239	4:42.621	0:00.000	decimal	Cue	
Marker 246	4:50.030	0:00.000	decimal	Cue	
