Name	Start	Duration	Time Format	Type	Description
Marker 54	0:17.894	0:00.000	decimal	Cue	
Marker 63	0:26.432	0:00.000	decimal	Cue	
Marker 68	0:32.961	0:00.000	decimal	Cue	
Marker 69	0:42.620	0:00.000	decimal	Cue	
Marker 74	0:52.156	0:00.000	decimal	Cue	
Marker 75	0:55.057	0:00.000	decimal	Cue	
Marker 76	1:04.260	0:00.000	decimal	Cue	
Marker 109	1:15.949	0:00.000	decimal	Cue	
Marker 115	1:23.258	0:00.000	decimal	Cue	
Marker 116	1:26.588	0:00.000	decimal	Cue	
Marker 133	1:32.998	0:00.000	decimal	Cue	
Marker 138	1:38.719	0:00.000	decimal	Cue	
Marker 143	1:41.572	0:00.000	decimal	Cue	
Marker 152	1:51.755	0:00.000	decimal	Cue	
Marker 153	1:57.884	0:00.000	decimal	Cue	
Marker 158	2:09.938	0:00.000	decimal	Cue	
Marker 190	2:19.697	0:00.000	decimal	Cue	
Marker 203	2:23.641	0:00.000	decimal	Cue	
Marker 212	2:30.838	0:00.000	decimal	Cue	
Marker 217	2:35.002	0:00.000	decimal	Cue	
Marker 239	2:41.036	0:00.000	decimal	Cue	
Marker 240	2:50.087	0:00.000	decimal	Cue	
Marker 257	2:58.332	0:00.000	decimal	Cue	
Marker 258	3:04.587	0:00.000	decimal	Cue	
Marker 259	3:11.661	0:00.000	decimal	Cue	
Marker 260	3:19.061	0:00.000	decimal	Cue	
Marker 284	3:26.417	0:00.000	decimal	Cue	
Marker 285	3:34.286	0:00.000	decimal	Cue	
Marker 286	3:41.086	0:00.000	decimal	Cue	
Marker 287	3:47.496	0:00.000	decimal	Cue	
Marker 292	3:54.262	0:00.000	decimal	Cue	
Marker 300	4:01.737	0:00.000	decimal	Cue	
Marker 301	4:08.428	0:00.000	decimal	Cue	
Marker 302	4:14.627	0:00.000	decimal	Cue	
Marker 303	4:20.708	0:00.000	decimal	Cue	
Marker 311	4:28.309	0:00.000	decimal	Cue	
Marker 324	4:34.962	0:00.000	decimal	Cue	
Marker 325	4:40.459	0:00.000	decimal	Cue	
