Name	Start	Duration	Time Format	Type	Description
Marker 25	0:08.158	0:00.000	decimal	Cue	
Marker 31	0:18.667	0:00.000	decimal	Cue	
Marker 41	0:25.280	0:00.000	decimal	Cue	
Marker 42	0:29.220	0:00.000	decimal	Cue	
Marker 43	0:39.670	0:00.000	decimal	Cue	
Marker 44	0:43.586	0:00.000	decimal	Cue	
Marker 58	0:50.751	0:00.000	decimal	Cue	
Marker 64	0:56.323	0:00.000	decimal	Cue	
Marker 65	1:03.363	0:00.000	decimal	Cue	
Marker 66	1:08.723	0:00.000	decimal	Cue	
Marker 67	1:14.149	0:00.000	decimal	Cue	
Marker 68	1:24.563	0:00.000	decimal	Cue	
Marker 78	1:31.486	0:00.000	decimal	Cue	
Marker 80	1:37.899	0:00.000	decimal	Cue	
Marker 85	1:43.939	0:00.000	decimal	Cue	
Marker 91	1:47.159	0:00.000	decimal	Cue	
Marker 99	1:53.223	0:00.000	decimal	Cue	
Marker 111	2:04.359	0:00.000	decimal	Cue	
Marker 117	2:13.873	0:00.000	decimal	Cue	
Marker 118	2:21.603	0:00.000	decimal	Cue	
Marker 119	2:27.903	0:00.000	decimal	Cue	
Marker 133	2:34.944	0:00.000	decimal	Cue	
Marker 134	2:40.094	0:00.000	decimal	Cue	
Marker 135	2:45.134	0:00.000	decimal	Cue	
Marker 168	2:55.978	0:00.000	decimal	Cue	
Marker 169	3:03.637	0:00.000	decimal	Cue	
Marker 170	3:07.417	0:00.000	decimal	Cue	
Marker 176	3:13.662	0:00.000	decimal	Cue	
Marker 177	3:19.122	0:00.000	decimal	Cue	
Marker 178	3:24.232	0:00.000	decimal	Cue	
Marker 189	3:33.059	0:00.000	decimal	Cue	
Marker 197	3:36.715	0:00.000	decimal	Cue	
Marker 198	3:44.075	0:00.000	decimal	Cue	
Marker 206	3:48.704	0:00.000	decimal	Cue	
Marker 207	3:57.718	0:00.000	decimal	Cue	
Marker 208	4:03.178	0:00.000	decimal	Cue	
Marker 209	4:12.278	0:00.000	decimal	Cue	
Marker 215	4:20.893	0:00.000	decimal	Cue	
Marker 216	4:27.957	0:00.000	decimal	Cue	
Marker 225	4:31.491	0:00.000	decimal	Cue	
Marker 237	4:37.944	0:00.000	decimal	Cue	
Marker 238	4:46.779	0:00.000	decimal	Cue	
Marker 244	4:57.185	0:00.000	decimal	Cue	
Marker 249	5:01.130	0:00.000	decimal	Cue	
Marker 250	5:11.018	0:00.000	decimal	Cue	
Marker 251	5:14.814	0:00.000	decimal	Cue	
Marker 252	5:24.874	0:00.000	decimal	Cue	
Marker 253	5:28.319	0:00.000	decimal	Cue	
Marker 267	5:32.960	0:00.000	decimal	Cue	
Marker 305	5:41.130	0:00.000	decimal	Cue	
