Name	Start	Duration	Time Format	Type	Description
Marker 07	0:09.642	0:00.000	decimal	Cue	
Marker 08	0:16.009	0:00.000	decimal	Cue	
Marker 09	0:20.308	0:00.000	decimal	Cue	
Marker 10	0:28.028	0:00.000	decimal	Cue	
Marker 11	0:37.688	0:00.000	decimal	Cue	
Marker 12	0:48.339	0:00.000	decimal	Cue	
Marker 13	0:52.728	0:00.000	decimal	Cue	
Marker 14	0:57.532	0:00.000	decimal	Cue	
Marker 15	1:01.000	0:00.000	decimal	Cue	
Marker 16	1:07.000	0:00.000	decimal	Cue	
Marker 17	1:20.521	0:00.000	decimal	Cue	
Marker 18	1:29.040	0:00.000	decimal	Cue	
Marker 19	1:39.257	0:00.000	decimal	Cue	
Marker 20	1:44.541	0:00.000	decimal	Cue	
Marker 21	1:51.000	0:00.000	decimal	Cue	
Marker 22	1:53.499	0:00.000	decimal	Cue	
Marker 23	2:04.869	0:00.000	decimal	Cue	
Marker 24	2:11.868	0:00.000	decimal	Cue	
Marker 25	2:20.328	0:00.000	decimal	Cue	
Marker 26	2:24.276	0:00.000	decimal	Cue	
Marker 27	2:34.224	0:00.000	decimal	Cue	
Marker 28	2:39.712	0:00.000	decimal	Cue	
Marker 29	2:46.660	0:00.000	decimal	Cue	
Marker 30	2:50.828	0:00.000	decimal	Cue	
Marker 31	3:04.000	0:00.000	decimal	Cue	
Marker 32	3:12.244	0:00.000	decimal	Cue	
Marker 33	3:23.083	0:00.000	decimal	Cue	
