Name	Start	Duration	Time Format	Type	Description
Marker 06	0:04.285	0:00.000	decimal	Cue	
Marker 13	0:10.232	0:00.000	decimal	Cue	
Marker 14	0:15.491	0:00.000	decimal	Cue	
Marker 15	0:23.388	0:00.000	decimal	Cue	
Marker 16	0:31.188	0:00.000	decimal	Cue	
Marker 28	0:42.544	0:00.000	decimal	Cue	
Marker 32	0:48.532	0:00.000	decimal	Cue	
Marker 33	0:51.238	0:00.000	decimal	Cue	
Marker 34	0:57.932	0:00.000	decimal	Cue	
Marker 35	1:06.202	0:00.000	decimal	Cue	
Marker 36	1:14.961	0:00.000	decimal	Cue	
Marker 41	1:26.531	0:00.000	decimal	Cue	
Marker 47	1:35.627	0:00.000	decimal	Cue	
Marker 48	1:43.637	0:00.000	decimal	Cue	
Marker 52	1:55.285	0:00.000	decimal	Cue	
Marker 53	2:00.022	0:00.000	decimal	Cue	
Marker 54	2:07.292	0:00.000	decimal	Cue	
Marker 60	2:11.452	0:00.000	decimal	Cue	
Marker 61	2:18.578	0:00.000	decimal	Cue	
Marker 71	2:26.684	0:00.000	decimal	Cue	
Marker 72	2:35.934	0:00.000	decimal	Cue	
Marker 73	2:39.410	0:00.000	decimal	Cue	
Marker 77	2:54.620	0:00.000	decimal	Cue	
Marker 82	3:09.529	0:00.000	decimal	Cue	
Marker 86	3:17.225	0:00.000	decimal	Cue	
Marker 90	3:25.399	0:00.000	decimal	Cue	
Marker 91	3:31.616	0:00.000	decimal	Cue	
Marker 95	3:40.074	0:00.000	decimal	Cue	
Marker 96	3:49.820	0:00.000	decimal	Cue	
Marker 101	3:56.261	0:00.000	decimal	Cue	
Marker 107	4:09.151	0:00.000	decimal	Cue	
Marker 108	4:16.247	0:00.000	decimal	Cue	
Marker 109	4:20.781	0:00.000	decimal	Cue	
Marker 110	4:26.081	0:00.000	decimal	Cue	
Marker 114	4:26.448	0:00.000	decimal	Cue	
Marker 115	4:33.058	0:00.000	decimal	Cue	
Marker 120	4:43.100	0:00.000	decimal	Cue	
Marker 143	4:58.345	0:00.000	decimal	Cue	
Marker 157	5:07.673	0:00.000	decimal	Cue	
Marker 166	5:15.273	0:00.000	decimal	Cue	
Marker 171	5:21.243	0:00.000	decimal	Cue	
Marker 179	5:28.176	0:00.000	decimal	Cue	
