Name	Start	Duration	Time Format	Type	Description
Marker 13	0:06.356	0:00.000	decimal	Cue	
Marker 18	0:09.530	0:00.000	decimal	Cue	
Marker 19	0:13.239	0:00.000	decimal	Cue	
Marker 20	0:16.330	0:00.000	decimal	Cue	
Marker 31	0:22.630	0:00.000	decimal	Cue	
Marker 32	0:32.345	0:00.000	decimal	Cue	
Marker 33	0:38.504	0:00.000	decimal	Cue	
Marker 34	0:41.964	0:00.000	decimal	Cue	
Marker 35	0:52.011	0:00.000	decimal	Cue	
Marker 36	1:02.153	0:00.000	decimal	Cue	
Marker 37	1:11.301	0:00.000	decimal	Cue	
Marker 38	1:20.061	0:00.000	decimal	Cue	
Marker 39	1:25.565	0:00.000	decimal	Cue	
Marker 40	1:37.085	0:00.000	decimal	Cue	
Marker 41	1:45.550	0:00.000	decimal	Cue	
Marker 42	1:51.540	0:00.000	decimal	Cue	
Marker 44	1:59.478	0:00.000	decimal	Cue	
Marker 50	2:05.861	0:00.000	decimal	Cue	
Marker 51	2:10.548	0:00.000	decimal	Cue	
Marker 52	2:16.853	0:00.000	decimal	Cue	
Marker 69	2:26.533	0:00.000	decimal	Cue	
Marker 79	2:32.809	0:00.000	decimal	Cue	
Marker 88	2:43.217	0:00.000	decimal	Cue	
Marker 89	2:48.683	0:00.000	decimal	Cue	
Marker 90	2:56.653	0:00.000	decimal	Cue	
Marker 91	2:59.977	0:00.000	decimal	Cue	
Marker 92	3:10.533	0:00.000	decimal	Cue	
Marker 93	3:16.137	0:00.000	decimal	Cue	
Marker 100	3:20.341	0:00.000	decimal	Cue	
Marker 101	3:22.961	0:00.000	decimal	Cue	
Marker 102	3:28.261	0:00.000	decimal	Cue	
Marker 103	3:31.581	0:00.000	decimal	Cue	
Marker 104	3:35.451	0:00.000	decimal	Cue	
Marker 105	3:42.261	0:00.000	decimal	Cue	
Marker 106	3:52.311	0:00.000	decimal	Cue	
Marker 107	4:00.721	0:00.000	decimal	Cue	
Marker 108	4:05.746	0:00.000	decimal	Cue	
Marker 109	4:12.383	0:00.000	decimal	Cue	
Marker 118	4:21.238	0:00.000	decimal	Cue	
Marker 119	4:27.018	0:00.000	decimal	Cue	
Marker 120	4:31.728	0:00.000	decimal	Cue	
Marker 128	4:41.031	0:00.000	decimal	Cue	
Marker 136	4:44.764	0:00.000	decimal	Cue	
Marker 144	4:48.783	0:00.000	decimal	Cue	
Marker 152	4:58.927	0:00.000	decimal	Cue	
Marker 153	5:10.303	0:00.000	decimal	Cue	
Marker 154	5:20.213	0:00.000	decimal	Cue	
Marker 160	5:25.632	0:00.000	decimal	Cue	
Marker 161	5:31.012	0:00.000	decimal	Cue	
Marker 162	5:37.352	0:00.000	decimal	Cue	
Marker 167	5:44.165	0:00.000	decimal	Cue	
Marker 168	5:50.785	0:00.000	decimal	Cue	
Marker 172	6:00.247	0:00.000	decimal	Cue	
Marker 173	6:05.452	0:00.000	decimal	Cue	
