Name	Start	Duration	Time Format	Type	Description
Marker 01	0:05.803	0:00.000	decimal	Cue	
Marker 02	0:17.026	0:00.000	decimal	Cue	
Marker 13	0:24.736	0:00.000	decimal	Cue	
Marker 19	0:32.363	0:00.000	decimal	Cue	
Marker 21	0:40.326	0:00.000	decimal	Cue	
Marker 27	0:45.729	0:00.000	decimal	Cue	
Marker 28	0:49.529	0:00.000	decimal	Cue	
Marker 29	0:58.169	0:00.000	decimal	Cue	
Marker 30	1:01.909	0:00.000	decimal	Cue	
Marker 31	1:07.039	0:00.000	decimal	Cue	
Marker 36	1:13.623	0:00.000	decimal	Cue	
Marker 37	1:18.733	0:00.000	decimal	Cue	
Marker 38	1:25.213	0:00.000	decimal	Cue	
Marker 39	1:30.573	0:00.000	decimal	Cue	
Marker 40	1:34.633	0:00.000	decimal	Cue	
Marker 46	1:44.197	0:00.000	decimal	Cue	
Marker 47	1:52.187	0:00.000	decimal	Cue	
Marker 48	2:00.234	0:00.000	decimal	Cue	
Marker 49	2:09.697	0:00.000	decimal	Cue	
Marker 50	2:15.504	0:00.000	decimal	Cue	
Marker 59	2:21.843	0:00.000	decimal	Cue	
Marker 60	2:28.723	0:00.000	decimal	Cue	
Marker 65	2:36.818	0:00.000	decimal	Cue	
Marker 66	2:39.608	0:00.000	decimal	Cue	
Marker 70	2:43.331	0:00.000	decimal	Cue	
Marker 71	2:54.174	0:00.000	decimal	Cue	
Marker 80	2:59.424	0:00.000	decimal	Cue	
Marker 84	3:06.311	0:00.000	decimal	Cue	
Marker 92	3:17.791	0:00.000	decimal	Cue	
Marker 93	3:21.886	0:00.000	decimal	Cue	
Marker 94	3:31.471	0:00.000	decimal	Cue	
Marker 95	3:37.041	0:00.000	decimal	Cue	
Marker 96	3:41.251	0:00.000	decimal	Cue	
Marker 111	3:45.744	0:00.000	decimal	Cue	
Marker 115	3:49.022	0:00.000	decimal	Cue	
Marker 120	3:57.266	0:00.000	decimal	Cue	
